core
- Tigerfell: 72
- Bryan Housel and Quincy Morgan: 173
- Andy Allan: 180
- Walter Nordmann (Wambacher): 142

innovation
- Adrien Pavie: 215
- Grigory Rechistov: 82
- Raymond Inzitari: 87
- acsd: 88

writing
- Edoardo Neerhut (eneerhut): 142
- Christopher Beddow and Daniela Waltersdorfer: 108
- Steve Friedl, Guillaume Rischard: 153
- Valeriy Trubin: 119

mapping
- Allan Mustard (apm-wa): 169
- Feye Andal: 153
- literan: 117
- Joseph Eisenberg: 90

community
- Brian Hollinshead: 100
- Severin Menard : 126
- Brian Prangle: 92
- Nathalie Sidibe: 142

team
- Data Working Group: 232
- OSM DRC/RDC: 137
- Kaart: 109
- Kontur Inc: 46

ulf
- Simon Poole: 176
- Minh Nguyen: 78
- Victor Scherb: 198
- Miriam Gonzalez: 113

,1,,,,,
24,2,,3,,123,134
4,1,,,,2,3
4,1,,,24,2,
,,,2,,,
2,1,4,1,3,2,4
2,1,4,2,4,1,3
13,23,4,3,13,12,12
2,1,3,4,4,1,1
3,3,13,124,1,,13
1234,24,24,13,1234,1234,13
,1,4,3,2,2,3
,,,2,,,
134,,3,1,,1,13
,,,,4,,
2,3,,,,1,
2,13,3,12,2,134,13
234,1,13,4,14,1,123
4,2,3,1,3,1,1
4,2,3,23,3,2,4
,,,,,1,
2,1,1,4,3,1,4
2,1,1,1,2,1,3
3,,3,,24,123,14
134,134,3,13,24,12,13
3,,,,,,13
2,1,1,4,2,4,1
13,2,,3,,,34
134,,3,13,234,12,13
3,2,2,1,1,2,3
2,4,2,3,,1,
24,13,2,13,1,1,3
3,,3,,,,2
2,14,1,1,13,4,23
4,1,3,1,4,2,1
3,1,4,3,1,1,3
34,1,24,1234,1,1234,134
2,1234,3,1,,134,3
1234,1234,1234,1234,1234,1234,1234
3,1,4,2,3,2,4
,,12,,,,
4,1,3,4,4,1,3
2,1,1,1,,,
,,,,4,,
,,,,4,,
2,2,124,23,123,123,123
34,134,3,3,,1,13
4,2,3,1,,1,3
,,,,,2,
,,,,4,,
3,,,,3,1,4
2,1,2,2,3,2,4
23,1,3,1,2,1,12
34,14,4,3,2,1,3
2,1,1,2,2,3,3
,,,,24,,
234,,3,1,,1,1
,,,2,,,
3,,3,1,,,1
,,2,,,,
3,4,4,2,1,3,1
3,4,3,,3,1,3
3,4,4,1,2,1,1
2,2,4,3,,4,4
3,1,2,2,1,3,1
3,3,4,1,3,4,1
13,1,14,13,23,12,24
,,,,4,,4
34,1,34,1,12,1,13
1234,,,2,,,
3,1,3,1,2,1,1
,,,2,,,
134,4,123,4,13,1,13
,,,,4,,
3,1,3,4,4,1,4
,,1,,,,
3,,3,,2,1,1
1234,1234,1234,1234,1234,1234,1234
,1,1,,,,
34,1,3,1,2,1,1
2,,,,,,1
2,1,12,1,123,123,13
2,1,2,2,4,234,4
,,,2,,,
,1,,3,,,3
3,2,3,2,3,3,4
134,,34,34,,1,1234
1,,,,,1,2
23,1,2,1,,,2
2,1,4,2,2,1,3
,,,3,,,
3,3,3,2,4,1,3
3,1,12,2,4,3,24
3,14,124,,,,1
3,,3,2,3,1,4
2,,,,,1,3
1,1,3,2,4,2,4
3,1,3,,2,1,13
3,14,123,4,1,,13
,,3,1,12,1,1
4,1,3,3,3,2,3
,,,2,,,
2,3,4,2,4,2,1
134,23,34,1,34,,14
1234,1234,1234,1234,1234,1234,1234
4,4,,1,4,1,3
,,,3,,,
23,1,,14,,12,123
,,,,4,,
3,3,4,2,4,2,3
24,,2,3,34,12,4
,,,2,,,
2,,,,,1,2
2,,,1,4,2,24
4,,,,,,
23,34,1,12,24,1,3
34,3,1,2,24,2,3
1,4,1,1,1,3,3
1234,,14,3,,1,13
,,2,,,,
2,4,23,,,14,2
,1,3,,,1,1
2,,,,,14,234
3,3,4,1,3,1,1
2,,,,,,3
3,1,3,14,24,1,13
,,,,,3,
3,1,4,3,3,1,3
,,,2,,,
2,4,4,3,3,3,3
,,,2,,,
34,14,123,14,1,13,1
2,3,4,3,3,,1
2,1,13,,2,1,3
1,4,,,,1,13
,,2,,,,
2,1,12,1,,1,4
134,1,3,1,3,1,34
,,,2,,,
1234,1234,1234,1234,1234,1234,1234
,,,2,,,
1,3,1,1,4,1,3
34,,3,,,1,13
23,13,124,1234,23,1234,134
24,1,12,1,4,1,14
234,,,,,1,13
,,,,1,,1
34,4,3,1,1,1,13
,,2,,,,
3,1,3,1,2,1,1
2,1,1,4,1,1,1
1,1,1,2,4,2,4
3,3,13,1,4,1,4
2,1,2,4,2,1,24
23,2,3,1,3,1,13
,,2,,,,
2,2,4,3,1,3,1
4,1,123,14,1,13,13
,,2,,,,
,1,,3,4,,
3,4,12,14,2,3,3
23,2,4,,2,4,34
,,,2,,,
1,13,1,13,24,2,3
,,3,,,13,
2,2,12,1,1,3,4
134,1,134,1234,123,12,12
2,4,4,2,1,3,4
134,123,34,123,123,14,123
,,4,3,,,3
4,1,1,1,1,12,13
2,,,,,1,2
34,,4,3,1,1,13
134,124,3,13,124,1,123
,,,,4,,
12,1,2,3,3,1,2
2,1,2,1,1,3,3
24,12,12,23,12,123,1234
,1,,,,,
4,,3,1,4,1,1
,,,2,,,
3,1,3,1,24,3,2
2,4,1,4,4,2,4
,,,2,,,
1234,13,124,2,124,2,234
2,1,2,1,3,4,1
3,3,3,1,4,1,1
14,1,12,12,4,2,2
2,3,1,2,,,1
234,1234,34,134,234,123,134
,,,2,,,
234,14,124,13,3,134,3
,,,,4,,
4,1,4,2,1,1,1
34,14,3,,,12,1
,,2,,,,
2,3,12,2,2,2,3
34,1,4,23,2,34,13
,,,2,,3,
,14,4,3,,,3
4,,2,24,4,2,1
23,3,34,123,2,1234,1234
3,14,3,1,1,1,134
2,,1,1,,1,1
4,1,3,1,4,12,13
,,,2,,,
,,2,,,,
,,2,,,,
4,3,1,1,4,2,2
3,1,1,2,3,2,3
,,,,,,3
,,,,4,,
123,34,34,134,3,1,3
23,24,4,,2,1,3
23,1,34,13,12,123,4
,,,,,,3
,,1,,,3,4
23,24,34,1234,124,12,1234
4,1,3,1,4,3,4
4,1,1,2,2,1,2
134,34,34,14,12,1,13
3,,,1,,1,1
1,1,2,2,1,1,3
1234,1234,1234,1234,1234,1234,1234
4,1,,1,2,1,
24,,1,1,,12,3
2,1,4,2,4,2,4
,,,,,3,
,4,,1,,,13
,,,2,,,
4,1,3,1,3,1,3
,,,2,,,
3,3,1,1,1,1,1
,,,,,2,
34,1,13,34,24,12,13
,1,1,1,,3,3
4,4,4,1,3,1,1
3,2,3,4,3,1,3
1,23,1,3,3,3,3
4,,3,4,,1,
,3,,,,,
134,1,3,1,1,1,1
12,1,1,34,1234,3,14
2,2,4,3,1,3,2
3,3,4,2,4,2,4
,,12,,4,2,
2,1,1,1,3,2,1
2,1,1,1,2,4,3
,,,,24,2,
3,,3,1,,1,3
3,3,4,1,1,3,4
,,,2,,,
3,1,3,3,,1,1
2,12,123,,,14,34
4,,,3,,,
,,2,,,,
13,1,3,1234,3,123,2
3,4,1,2,2,1,3
1234,1234,1234,1234,1234,1234,1234
1234,1234,1234,1234,1234,1234,1234
3,1,1,,,1,3
1,3,1,2,2,3,4
,,24,3,13,3,4
,1,,,4,,1
2,2,1,1,1,3,1
4,1,3,1,3,1,1
3,2,1,1,,1,2
1,4,2,2,4,1,3
2,3,3,4,1,3,3
1,1,13,14,1234,1234,3
2,1,1,3,,3,3
4,12,1,3,2,2,
3,2,4,3,4,2,3
,1,1,,,3,2
3,1,,1,,2,2
234,4,14,23,13,13,
134,134,34,13,124,2,134
,,,,,,3
,,,2,,,
2,,,,,,
4,1,34,,,1,
4,1,3,3,2,1,3
4,2,3,3,3,1,3
,,,2,,,
,1,,,,,
3,1,,1,4,2,4
4,,,3,,,
,,,,24,2,3
23,12,124,1234,3,13,24
1,4,4,2,4,1,1
1234,1234,123,4,,1234,3
134,3,,,,3,
2,1,1,,2,2,
23,1,1,24,1,2,1
4,14,14,3,3,1,3
3,,,,3,1,1
4,3,3,1,1,3,1
2,1,12,1,4,2,4
23,1,14,124,2,13,34
2,,4,3,,,3
4,,3,,2,1,3
,,,,24,2,
